SourceID,SMILES,PIC50,USED_AS
CHEMBL1084826,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)n[nH]c4C,4.4,Dev-set
CHEMBL1082488,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc(C)nc(n4)c5ccccc5,6.92,Dev-set
CHEMBL1085396,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccc(Cl)cc5,5.8,Dev-set
CHEMBL1823053,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCC(O)C4,5.15,Dev-set
CHEMBL562629,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCCCC4,5.95,Dev-set
CHEMBL564380,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCOCC4,5.44,Dev-set
CHEMBL560140,C[C@@H]1CCCN1CCc2ccc(cc2)c3ccc(cc3)S(=O)(=O)N4CCS(=O)(=O)CC4,5.02,Dev-set
CHEMBL1086034,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4CC4,4.36,Dev-set
CHEMBL263101,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cc5cccnc5nc4C,4.4,Dev-set
CHEMBL1086315,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C#N)s4,5.7,Dev-set
CHEMBL1082781,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(C)nc4,4.58,Dev-set
CHEMBL2069926,C[C@@H](Oc1nnc(c2ccncc2)n1C)c3noc(n3)c4cccc(Cl)c4,4.9,Dev-set
CHEMBL1086074,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5OCOc5c4,4.4,Dev-set
CHEMBL237191,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(nc4C)N5CCCC5,4.98,Dev-set
CHEMBL442242,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn(C)nc4C,4.61,Dev-set
CHEMBL392573,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc5cc(C)nn5c4C,5.06,Dev-set
CHEMBL1083448,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc5OCOCc5c4,5.44,Dev-set
CHEMBL1082496,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccccn4,4.74,Dev-set
CHEMBL1086513,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5,5.87,Dev-set
CHEMBL1083406,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccncc4,4.55,Dev-set
CHEMBL511658,C[C@@H]1CN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)CC[C@H]1c4ccccc4C,5.04,Dev-set
CHEMBL2031762,C[C@@H]1CCCN1CCN2CCc3cc(ccc3C2=O)c4ccc(cc4)C#N,6.85,Dev-set
CHEMBL3417504,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C4CC34,4.52,Dev-set
CHEMBL2031760,C[C@@H]1CCCN1CCN2CCc3cc(ccc3C2=O)c4ccc(F)cc4,6.52,Dev-set
CHEMBL1084384,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn5CCSc5n4,4.4,Dev-set
CHEMBL1085572,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccsc4,5.9,Dev-set
CHEMBL2031885,C[C@@H]1CCCN1CCN2CCc3cc(ccc3C2=O)c4ccc(cc4)C(=O)N5CCCC5,5.02,Dev-set
CHEMBL1084582,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn[nH]c4,4.4,Dev-set
CHEMBL1085124,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(s4)c5ccc(C)s5,5.7,Dev-set
CHEMBL1083274,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4oc(C)nc4C,4.4,Dev-set
CHEMBL1083562,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nc5ccccc5s4,5.7,Dev-set
CHEMBL1084879,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccc(OCC(F)(F)F)nc5,5.82,Dev-set
CHEMBL1086098,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nnn(c4C)c5ccc(F)cc5F,5.55,Dev-set
CHEMBL1084827,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(C)c4C,4.4,Dev-set
CHEMBL1084877,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5cc(cc(C)n5)C(F)(F)F,4.77,Dev-set
CHEMBL1086521,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4nccs4,4.94,Dev-set
CHEMBL1086073,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(C)on5,5.55,Dev-set
CHEMBL1084616,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn5ncnc5n4,4.68,Dev-set
CHEMBL1084560,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cccnc4,4.92,Dev-set
CHEMBL1083447,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc5nccnc5c4,5.08,Dev-set
CHEMBL1084581,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn[nH]4,4.4,Dev-set
CHEMBL1086072,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5csc(C)n5,4.91,Dev-set
CHEMBL1084294,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(Cl)nc(Cl)c5,4.69,Dev-set
CHEMBL1085829,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cccs4,6.2,Dev-set
CHEMBL1084878,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccccc5,5.8,Dev-set
CHEMBL1829335,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C=C3,4.86,Dev-set
CHEMBL1935114,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)C(C)(C)C3,4.7,Dev-set
CHEMBL1813065,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=CC(=O)NN=C3,5.02,Dev-set
CHEMBL1084383,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5ncnn5c4C,5.55,Dev-set
CHEMBL1813057,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NN(C)C(=O)C=C3,4.89,Dev-set
CHEMBL1084559,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(C)nc4C,4.69,Dev-set
CHEMBL1085866,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccccn5,4.95,Dev-set
CHEMBL1829472,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NN(C(=O)C=C3)c4ncccn4,5,Dev-set
CHEMBL1086561,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)N5CCOCC5,4.69,Dev-set
CHEMBL2032049,C[C@@H]1[C@H]2CN(CCC3(CCCCC3)C(=O)O)CC[C@@H]2Cc4[nH]c5ccc(cc5c14)C(F)(F)F,5.3,Dev-set
CHEMBL2032048,C[C@@H]1[C@H]2CN(CCC3(CCOCC3)C(=O)O)CC[C@@H]2Cc4[nH]c5ccc(cc5c14)C(F)(F)F,5.3,Dev-set
CHEMBL2032047,C[C@@H]1[C@H]2CN(CCCC3(CCOCC3)C(=O)O)CC[C@@H]2Cc4[nH]c5ccc(cc5c14)C(F)(F)F,6.52,Dev-set
CHEMBL1922270,C[C@@H]1[C@H]2CN(CCCC3CCOCC3)CC[C@@H]2Cc4[nH]c5ccc(cc5c14)C(F)(F)F,7.52,Dev-set
CHEMBL351231,C[C@@H]1CCCN1CCc2oc3ccc(cc3c2)c4ccc(cc4)C#N,5.8,Dev-set
CHEMBL1085142,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5nc6ccccc6n5c4C,5.76,Dev-set
CHEMBL1083407,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(Cl)nc4,5.44,Dev-set
CHEMBL1086032,C[C@@H]1CCCN1CCc2ccc3ncccc3c2,4.4,Dev-set
CHEMBL1086520,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(Br)c4,6.06,Dev-set
CHEMBL1089483,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5ccncn5,8,Dev-set
CHEMBL1089103,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5ccccn5,8.3,Dev-set
CHEMBL1092209,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@@H]3CNC[C@H]3c4ccc(F)cc4F,8.2,Dev-set
CHEMBL1092860,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5cccnn5,8,Dev-set
CHEMBL1935100,C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NNC(=O)CC3,5,Dev-set
CHEMBL477361,C[C@@H]1CCCN1CCCOc2ccc(cc2)N3C(=Nc4ccccc4C3=O)C,5,Dev-set
CHEMBL1089104,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)c5cccnc5,8.3,Dev-set
CHEMBL1092550,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2c(F)cccc2F)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C,8.3,Dev-set
CHEMBL1085592,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cnccn5,4.49,Dev-set
CHEMBL1082606,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccnc5,5.22,Dev-set
CHEMBL1085641,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(c4C)c5ccc(Cl)cc5,5.7,Dev-set
CHEMBL1085841,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccncc5,5.32,Dev-set
CHEMBL1092571,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)C5CCC5,8.2,Dev-set
CHEMBL1091150,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccc(Cl)cc2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(F)cc4F)C(C)(C)C,8,Dev-set
CHEMBL1086292,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cccs5,5.43,Dev-set
CHEMBL1089797,C[C@@H]1CN(C[C@H](C)[C@@]1(O)c2ccccc2)C(=O)[C@H]3CN(C[C@@H]3c4ccc(F)cc4F)C5CC5,8,Dev-set
CHEMBL1092108,Brc1ccc(cc1)N(C2CCN(Cc3ccncc3)CC2)C(=O)NCc4ccccc4,5.64,Dev-set
CHEMBL2441433,[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)cc1,6.8,Dev-set
CHEMBL3590451,[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])C(=O)C(F)(F)F)cc1,6.4,Dev-set
CHEMBL1406051,[O-][N+](=O)c1ccc(cc1)C(=O)NC(=S)Nc2ccccc2N3CCCC3,5.5,Dev-set
CHEMBL2441430,[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)[N+](=O)[O-])cc1,7.34,Dev-set
CHEMBL227875,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(OC(F)(F)F)cc3,4.52,Dev-set
CHEMBL175193,[O-][N+](=O)c1ccccc1CCl,5.6,Dev-set
CHEMBL3590448,[O-][N+](=O)c1ccc(CCN(CCOc2ccc(cc2)[N+](=O)[O-])CC#N)cc1,6.7,Dev-set
CHEMBL1945829,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC(=O)N3CCN(CC3)c4ccc(OC(F)(F)F)cc4,4.52,Dev-set
CHEMBL2441429,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)n4cnnn4)CC2)cc1,7.96,Dev-set
CHEMBL2146858,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(F)cc3)CC2)cc1,7.64,Dev-set
CHEMBL3612795,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4C(=O)OCc4c3)CC2)cc1,6.82,Dev-set
CHEMBL2146853,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc4nonc4c3)CC2)cc1,7.6,Dev-set
CHEMBL3590447,[O-][N+](=O)c1ccc(CCN(CCF)CCOc2ccc(cc2)[N+](=O)[O-])cc1,7.2,Dev-set
CHEMBL1323107,[O-][N+](=O)c1cc(Cl)c(Cl)cc1Cl,5.15,Dev-set
CHEMBL2441431,[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc4C(=O)OCc4c3)cc1,5.89,Dev-set
CHEMBL17331,[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,5.05,Dev-set
CHEMBL1450018,[O-][N+](=O)c1ccccc1Nc2ccccc2,4.45,Dev-set
CHEMBL3221109,[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)N5CCOCC5)C(F)(F)F)c1,6.41,Dev-set
CHEMBL1824037,[O-][N+](=O)c1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,4.61,Dev-set
CHEMBL2146754,[O-][N+](=O)c1ccc(CCN2CCNCC2)cc1,6.72,Dev-set
CHEMBL3220881,[O-][N+](=O)c1cccc(CNc2cc(cc3ncc(cc23)N4CCN(CC4)C(=O)\C=C\[C@@H]5CCCN5)C(F)(F)F)c1,4.06,Dev-set
CHEMBL1223951,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,8.08,Dev-set
CHEMBL504699,F[C@@H]1CCNC[C@H]1c2c([nH]c3cc(F)ccc23)c4ccccc4,5.35,Dev-set
CHEMBL168024,[O-][N+](=O)c1cccc(Cl)c1Cl,4.3,Dev-set
CHEMBL1653,n1ccccc1C(CCN(C)C)c2ccccc2,4.63,Dev-set
CHEMBL409849,[O-][n+]1ccc(cc1)C(=O)N2CCC3(CCN(Cc4cccc(Oc5ccccc5)c4)CC3)CC2,4.85,Dev-set
CHEMBL485629,[O-][n+]1cccc(c1)C#Cc2cccc(c2)N3C=C(C(=O)NC4CC4)C(=O)c5cccnc35,4.18,Dev-set
CHEMBL538993,[O-][n+]1cccc(c1)C(NC(=O)CC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2)c5ccc(F)cc5,4.5,Dev-set
CHEMBL336467,[O-][n+]1onc(c2ccccc2)c1C#N,5.3,Dev-set
CHEMBL354330,[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,4.9,Dev-set
CHEMBL2146852,[O-][N+](=O)c1ccc(CCN2CCN(CCc3cccc(c3)C#N)CC2)cc1,7.66,Dev-set
CHEMBL1391678,[O-][N+](=O)c1ccccc1c2ccccc2,4.4,Dev-set
CHEMBL3590444,[O-][N+](=O)c1ccc(CCNCCOc2ccc(cc2)[N+](=O)[O-])cc1,7.3,Dev-set
CHEMBL2146757,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)C#N)CC2)cc1,8.05,Dev-set
CHEMBL3417057,C(CN1CCCCC1)Nc2cn(Cc3ccccc3)nn2,5,Dev-set
CHEMBL2207736,C(CN1CCCCC1)Oc2ccc(Oc3nc4ncccc4s3)cc2,5,Dev-set
CHEMBL481863,C(CN1CCCCC1)Oc2ccc(Oc3oc4ccccc4n3)cc2,6,Dev-set
CHEMBL3417067,C(CN1CCCCCC1)Nc2cn(Cc3ccccc3)nn2,5,Dev-set
CHEMBL3417078,C(CN1CCOCC1)Nc2cn(nn2)C34CC5CC(CC(C5)C3)C4,5,Dev-set
CHEMBL2170063,C(CN1CCOCC1)Oc2ccn(n2)c3ccc4ccccc4c3,5,Dev-set
CHEMBL2170066,C(CN1CCOCC1)Oc2ccn(n2)C3CCCCC3,5,Dev-set
CHEMBL2046889,C(CNCCC(c1ccccc1)c2ccccc2)Cc3ccccc3,7.8,Dev-set
CHEMBL1822853,C(COc1ccc(cc1)C2=CCCC2)CN3CCCCC3,6.6,Dev-set
CHEMBL1822688,C(COc1ccc(cc1)c2cccs2)CN3CCCCC3,7.9,Dev-set
CHEMBL1822858,C(COc1ccc(cc1)c2ccc3OCOc3c2)CN4CCCCC4,8.3,Dev-set
CHEMBL564514,C(COc1ccc(cc1)[C@H]2Oc3ccccc3S[C@H]2c4ccccc4)CN5CCCC5,7.92,Dev-set
CHEMBL1822690,C(COc1ccc(cc1)C2CCCO2)CN3CCCCC3,5.6,Dev-set
CHEMBL2046891,C(CNCCN(c1ccccc1)c2ccccc2)Cc3ccccc3,6.2,Dev-set
CHEMBL1822857,C(COc1ccc(cc1)C2CCOCC2)CN3CCCCC3,5.7,Dev-set
CHEMBL1822856,C(COc1ccc(cc1)C2CCCCO2)CN3CCCCC3,5.9,Dev-set
CHEMBL75880,C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,5.11,Dev-set
CHEMBL113461,C(C1CC1)N2CC3CN(CC4CC4)CC(C2)C35CCCC5,5.6,Dev-set
CHEMBL1083707,C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34,4.7,Dev-set
CHEMBL487355,C(c1ccccc1)C2(CCNC2)c3ccc4[nH]ccc4c3,5.05,Dev-set
CHEMBL2443278,C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4cccs4,5.64,Dev-set
CHEMBL2146854,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4occn4)CC2)cc1,7.33,Dev-set
CHEMBL2146755,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)[N+](=O)[O-])CC2)cc1,8.3,Dev-set
CHEMBL1083705,C(C(N1CCNCC1)c2ccccc2)c3ccccc3OC4CC4,5.19,Dev-set
CHEMBL2146856,[O-][N+](=O)c1ccc(CCN2CCN(CCc3ccc(cc3)c4cccc5C(=O)OCc45)CC2)cc1,6.82,Dev-set
CHEMBL486537,C(c1ccccc1)C2(CCNC2)c3ccc4sccc4c3,4.96,Dev-set
